,u1,u2
consPorc,0.5079817379445825,0.7240197501251255
consVita,-0.4874050239530223,-0.06889366723764036
consumOaieSiCapra,-0.7250743855993099,0.707367438624664
consPasareDeCurte,0.07114661950366072,0.00037019608635539423
