Siruta,Judet,Populatie,Alimentara,Textila,Lemnului,ChimicaFarmaceutica,Metalurgica,ConstructiiMasini,CalculatoareElectronica,Mobila,Energetica
46019,bz,3724,28.02980665950591,7.557465091299678,36.24301825993555,0.0,0.0,0.0,0.0,110.9828141783029,0.0
127938,ot,2247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136134,ph,6881,0.0,0.0,324.1450370585671,698.3551809330039,0.0,0.0,0.0,0.0,0.0
119750,ms,2062,2.9136760426770127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103372,gr,2329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21454,bc,4838,0.0,3.542372881355932,46.58867300537412,0.0,0.0,0.0,0.0,0.0,0.0
86990,hd,43219,365.5531594900391,166.34949906291214,240.2035910132118,0.0,0.0,360.4659756125778,85.81207339364632,41.569795691709665,15649.54015594993
177101,vn,2065,0.0,0.0,1648.5985472154964,0.0,0.0,0.0,0.0,0.0,0.0
152528,tr,2732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160724,tl,2749,299.30301927973807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37850,bt,2556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13276,ag,7714,262.77897329530725,28.681488203266788,515.5893181228935,31.190821882291935,88.36193933108633,0.0,0.0,189384.74837956962,0.0
29662,bh,2331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144349,sb,4031,0.0,0.0,0.0,0.0,0.0,763.7184321508311,0.0,0.0,0.0
111587,mh,1393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62440,ct,5502,619.1041439476554,0.0,0.6597600872410033,0.0,0.0,0.0,0.0,0.0,0.0
70637,dj,5590,75.00339892665474,0.0,4.507513416815742,0.0,0.0,0.0,0.0,0.0,0.0
78828,gj,1657,871.8684369342185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103407,gr,3275,0.0,0.0,402.8268702290076,0.0,0.0,0.0,0.0,0.0,0.0
127983,ot,4813,84.03989195927696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5103,ab,5309,0.513844415144095,14.04256922207572,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13301,ag,34559,44.33397957116815,0.4036575132382303,32.75818166034897,0.0,0.0,585851.199745363,0.02222286524494343,56.445093897392866,84.18264417373187
152564,tr,3217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119803,ms,1619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144376,sb,1638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54270,cs,4063,519.7282795963574,0.0,2669.777258183608,0.0,0.0,0.0,0.0,0.0,0.0
21506,bc,7649,79.13465812524512,147.00823637076743,0.0,0.0,0.0,0.0,0.0,0.0,0.0
168960,vl,2810,0.0,0.0,11.192170818505337,0.0,0.0,0.0,0.0,0.0,0.0
136198,ph,3845,0.0,0.0,0.0,0.0,0.0,141.3516254876463,0.0,0.0,0.0
152582,tr,2590,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95239,is,6107,31.377271982970363,0.0,57.12166366464712,0.0,0.0,75.63812018994597,0.0,209.89896839692156,0.0
160779,tl,952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70673,dj,1653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87059,hd,27186,209.1205399838152,4695.225079084823,28.35069521077025,0.0,0.0,76.60222173177371,0.0,0.0,79.34812035606562
