,z1,z2
prodPorc,0.7049893533780152,1.208966775923185
prodVite,-0.31947769861535336,0.4416864454457185
prodOaieSiCapra,-1.1787691114631094,1.1188321172545943
prodPasareDeCurte,0.004608769900657728,0.7910814161215716
